item,org,date,quantity
6609938,1617388,2014-08-01,7763
6609938,1619228,2014-08-01,6266
6609938,40022636,2014-08-01,2837
6609938,42023714,2014-08-01,8436
28065487,1617388,2014-08-01,7180
28065487,1619228,2014-08-01,3650
28065487,40022636,2014-08-01,2367
28065487,42023714,2014-08-01,6961
3959294,1617388,2014-09-01,8386
3959294,1619228,2014-09-01,4362
3959294,40022636,2014-09-01,3624
3959294,42023714,2014-09-01,9406
3959313,1617388,2014-09-01,2356
3959313,1619228,2014-09-01,2172
3959313,40022636,2014-09-01,1246
3959313,42023714,2014-09-01,4360
3959506,1617388,2014-09-01,53985
3959506,1619228,2014-09-01,22522
3959506,40022636,2014-09-01,22612
3959506,42023714,2014-09-01,25570
3959509,1617388,2014-09-01,6359
3959509,1619228,2014-09-01,3180
3959509,40022636,2014-09-01,4355
3959509,42023714,2014-09-01,3759
3959530,1617388,2014-09-01,58408
3959530,1619228,2014-09-01,43000
3959530,40022636,2014-09-01,18934
3959530,42023714,2014-09-01,69096
6609938,1617388,2014-09-01,8281
6609938,1619228,2014-09-01,5192
6609938,40022636,2014-09-01,2589
6609938,42023714,2014-09-01,6019
28065487,1617388,2014-09-01,8721
28065487,1619228,2014-09-01,4535
28065487,40022636,2014-09-01,1526
28065487,42023714,2014-09-01,8339
3959294,1617388,2014-10-01,9733
3959294,1619228,2014-10-01,4887
3959294,40022636,2014-10-01,4381
3959294,42023714,2014-10-01,11694
3959313,1617388,2014-10-01,2940
3959313,1619228,2014-10-01,1902
3959313,40022636,2014-10-01,1223
3959313,42023714,2014-10-01,4189
3959506,1617388,2014-10-01,43188
3959506,1619228,2014-10-01,30884
3959506,40022636,2014-10-01,23143
3959506,42023714,2014-10-01,35183
3959509,1617388,2014-10-01,7427
3959509,1619228,2014-10-01,3017
3959509,40022636,2014-10-01,3879
3959509,42023714,2014-10-01,4150
3959530,1617388,2014-10-01,62636
3959530,1619228,2014-10-01,47160
3959530,40022636,2014-10-01,13612
3959530,42023714,2014-10-01,51029
6609938,1617388,2014-10-01,6631
6609938,1619228,2014-10-01,5085
6609938,40022636,2014-10-01,2276
6609938,42023714,2014-10-01,5099
28065487,1617388,2014-10-01,6737
28065487,1619228,2014-10-01,3423
28065487,40022636,2014-10-01,2233
28065487,42023714,2014-10-01,5422
51472179,1617388,2014-10-01,40
3959294,1617388,2014-11-01,9190
3959294,1619228,2014-11-01,4045
3959294,40022636,2014-11-01,3920
3959294,42023714,2014-11-01,13356
3959313,1617388,2014-11-01,2666
3959313,1619228,2014-11-01,1788
